page,line,text
7,18,ii. Willfuln ess .................................... ............................... ....................... ... 187
7,19,iii. Difficulties in Valuing Promised Information .............................. ........ 188
7,20,c. Application to WikiLeaks
7,21,1.
7,22,.................... ........................... ........................ 189
7,23,ii. Willfulness ............................................. .................... ........... ................. 190
7,24,iii. Constitutional Considerations ............................................ .................... 190
7,25,iv. Analysis                                    .............................................. ................. ..... 190
7,26,4. False Statem ents and Obstruction of the Investigation .............. .............. ........... 191
7,27,a. Overview Of Governing Law ............. ......................................... ......... .......... 191
7,28,b. Application to Certain Individuals .............................................. ............... .... 192
7,29,i. George Papadopoulos ....................... .................................... ................... 192
7,30,11.                                ...........     ... ... ... ...........................................                  . .. . ......... . 194
7,31,111. Michael Flynn ..............................................................................                                   ......... 194
7,32,iv . Michael Cohen .......................... ......... .................. ................................. 195
7,33,V.                                ................... ................................... .................. ...... 196
7,34,vi. Jeff Sessions ....................... .............. ......................................................                                197
7,35,vii. Other s Interviewed During the Investigation ........................ ............... 198
7,36,V
7,37,NA
8,1,U.S. Department of Justice
8,2,A+terfl:eyWerk Prodttet // May Cefl:tttiflMaterial Preteeted Ufl:der Fed. R. Criffl. P. 6Ee)
8,3,NA
9,1,U.S . Department of Justice
9,2,Atten1e:y·'>lork Preettet // Moy Cefttttift Material Preteetee Ul'leer Fee. R. Criffl.. P. 6(e)
9,3,INTRODUCTION TO VOLUME          I
9,4,"This report is submitted to the Attorney General pursuant to 28 C.F.R. § 600.8(c), which"
9,5,"states that , ""[a]t the conclusion of the Special Counsel ' s work, he ... shall provide the Attorney"
9,6,General a confidential report explaining the prosecution or declination decisions [the Special
9,7,"Counsel] reached."""
9,8,The Russian government interfered in the 2016 presidential election in sweeping and
9,9,systematic fashion. Evidence of Russian government operations began to surface in mid-2016. In
9,10,"June, the Democratic National Committee and its cyber response team publicly announced that"
9,11,Russian hackers had compromised its computer network. Releases of hacked materials-hacks
9,12,that public reporting soon attributed to the Russian government-began                that same month.
9,13,"Additional releases followed in July through the organization WikiLeaks, with further releases in"
9,14,October and November.
9,15,"In late July 2016, soon after WikiLeaks's first release of stolen documents, a foreign"
9,16,government contacted the FBI about a May 2016 encounter with Trump Campaign foreign policy
9,17,advisor George Papadopoulos. Papadopoulos had suggested to a representative of that foreign
9,18,government that the Trump Campaign had received indications from the Russian government that
9,19,it could assist the Campaign through the anonymous release of information damaging to
9,20,Democratic presidential candidate Hillary Clinton. That information prompted the FBI on July
9,21,"31, 2016, to open an investigation into whether individuals associated with the Trump Campaign"
9,22,were coordinating with the Russian government in its interference activities.
9,23,"That fall, two federal agencies jointly announced that the Russian government ""directed"
9,24,"recent compromises of e-mails from US persons and institutions, including US political"
9,25,"organizations,"" and , "" [t]hese thefts and disclosures are intended to interfere with the US election"
9,26,"process."" After the election, in late December 2016, the United States imposed sanctions on Russia"
9,27,"for having interfered in the election. By early 2017, several congressional committees were"
9,28,examining Russia's interference in the election.
9,29,"Within the Executive Branch, these investigatory efforts ultimately led to the May 2017"
9,30,"appointment of Special Counsel Robert S. Mueller, III. The order appointing the Special Counsel"
9,31,"authorized him to investigate ""the Russian government's efforts to interfere in the 2016"
9,32,"presidential election ,"" including any links or coordination between the Russian government and"
9,33,individuals associated with the Trump Campaign.
9,34,"As set forth in detail in this report, the Special Counsel's investigation established that"
9,35,"Russia interfere~ in the 2016 presidential election principally through two operations. First, a"
9,36,Russian entity carried out a social media campaign that favored presidential candidate Donald J.
9,37,"Trump and disparaged presidential candidate Hillary Clinton. Second , a Russian intelligence"
9,38,"service conducted computer-intrusion operations against entities, employees, and volunteers"
9,39,working on the Clinton Campaign and then released stolen documents. The investigation also
9,40,identified numerous links between the Russian government and the Trump Campaign. Although
9,41,the investigation established that the Russian government perceived it would benefit from a Trump
9,42,"presidency and worked to secure that outcome, and that the Campaign expected it would benefit"
9,43,NA
10,1,U.S. Department of Justice
10,2,Atterttey Werk Predttet // Ma~· Cetttaitt Material Prnteeted Uttder Fed. R. Criffl. P. 6(e)
10,3,"electorally from information stolen and released through Russian efforts, the investigation did not"
10,4,establish that members of the Trump Campaign conspired or coordinated with the Russian
10,5,government in its election interference activities.
10,6,* * *
10,7,Below we describe the evidentiary considerations underpinning statements about the
10,8,"results of our investigation and the Special Counsel's charging decisions, and we then provide an"
10,9,overview of the two volumes of our report.
10,10,The report describes actions and events that the Special Counsel's Office found to be
10,11,"supp01ted by the evidence collected in our investigation. In some instances, the report points out"
10,12,the absence of evidence or conflicts in the evidence about a particular fact or event. In other
10,13,"instances, when substantial, credible evidence enabled the Office to reach a conclusion with"
10,14,"confidence, the report states that the investigation established that certain actions or events"
10,15,occurred. A statement that the investigation did not establish particular facts does not mean there
10,16,was no evidence of those facts.
10,17,In evaluating whether evidence about collective action of multiple individuals constituted
10,18,"a crime, we applied the framework of conspiracy law, not the concept of ""collusion."" In so doing,"
10,19,"the Office recognized that the word ""collud[ e]"" was used in communications with the Acting"
10,20,Attorney General confirming certain aspects of the investigation's scope and that the term has
10,21,frequently been invoked in public reporting about the investigation. But collusion is not a specific
10,22,"offense or theory of liability found in the United States Code, nor is it a term of art in federal"
10,23,"criminal law. For those reasons , the Office's focus in analyzing questions of joint criminal liability"
10,24,"was on conspiracy as defined in federal law. In connection with that analysis, we addressed the"
10,25,"factual question whether members of the Trump Campaign ""coordinat[ ed]""-a term that appears"
10,26,"in the appointment order-with         Russian election interference activities.       Like collusion,"
10,27,"""coordination"" does not have a settled definition in federal criminal law. We understood"
10,28,coordination to require an agreement-tacit or express - between the Trump Campaign and the
10,29,Russian government on election interference. That requires more than the two parties taking
10,30,actions that were informed by or responsive to the other's actions or interests. We applied the term
10,31,coordination in that sense when stating in the report that the investigation did not establish that the
10,32,Trump Campaign coordinated with the Russian government in its election interference activities.
10,33,* * *
10,34,The report on our investigation consists of two volumes:
10,35,Volume I describes the factual results of the Special Counsel's investigation of Russia's
10,36,interference in the 2016 presidential election and its interactions with the Trump Campaign.
10,37,Section I describes the scope of the investigation. Sections II and III describe the principal ways
10,38,Russia interfered in the 2016 presidential election . Section IV describes links between the Russian ·
10,39,2
10,40,NA
11,1,U.S. Department of Justice
11,2,Att:arAe~·Wark Praattet // Me~· C0Atttil'lMttterittl Prateetea UAaer red. R. Criffl. P. 6(e)
11,3,government and individuals associated with the Trump Campaign. Section V sets forth the Special
11,4,Counsel's charging decisions.
11,5,Volume II addresses the President ' s actions towards the FBI's investigation into Russia ' s
11,6,"interference in the 2016 presidential election and related matters, and his actions towards the"
11,7,Special Counsel ' s investigation. Volume II separately states its framework and the considerations
11,8,that guided that investigation.
11,9,3
11,10,NA
12,1,U.S. Department of Justice
12,2,Atterrte~· Werk Predttet // May Cetttairt Material Preteetee Urteer Fee. R. Crim. P. 6(e)
12,3,EXECUTIVE SUMMARY TO VOLUME           I
12,4,RUSSIAN SOCIAL MEDIA CAMPAIGN
12,5,The Internet Research Agency (IRA) carried out the earliest Russian interference
12,6,operations identified by the investigation - a social media campaign designed to provoke and
12,7,"amplify political and social discord in the United States. The IRA was based in St. Petersburg,"
12,8,"Russia, and received funding from Russian oligarch Y evgeniy Prigozhin and companies he"
12,9,controlled. Pri ozhin is widel re orted to have ties to Russian President Vladimir Putin
12,10,"In mid-2014, the IRA sent em lo"
12,11,mission with instructions
12,12,The IRA later used social media accounts and interest groups to sow discord in the U.S.
12,13,"political system through what it termed ""information warfare."" The campaign evolved from a"
12,14,"generalized program designed in 2014 and 2015 to undermine the U.S . electoral system, to a"
12,15,targeted operation that by early 2016 favored candidate Trump and disparaged candidate Clinton.
12,16,The IRA' s operation also included the purchase of political advertisements on social media in the
12,17,"names of U.S. persons and entities, as well as the staging of political rallies inside the United"
12,18,"States. To organize those rallies, IRA employees posed as U.S. grassroots entities and persons and"
12,19,made contact with Trump supporters and Trump Campaign officials in the United States. The
12,20,investigation did not identify evidence that any U.S. persons conspired or coordinated with the
12,21,IRA. Section II of this report details the Office's investigation of the Russian social media
12,22,campaign.
12,23,RUSSIAN HACKING OPERATIONS
12,24,At the same time that the IRA operation began to focus ·on supporting candidate Trump in
12,25,"early 2016, the Russian government employed a second form of interference: cyber intrusions"
12,26,(hacking) and releases of hacked materials damaging to the Clinton Campaign. The Russian
12,27,intelligence service known as the Main Intelligence Directorate of the General Staff of the Russian
12,28,Army (GRU) carried out these operations.
12,29,"In March 2016, the GRU began hacking the email accounts of Clinton Campaign"
12,30,"volunteers and employees, including campaign chairman John Podesta. In April 2016, the GRU"
12,31,hacked into the computer networks of the Democratic Congressional Campaign Committee
12,32,(DCCC) and the Democratic National Committee (DNC). The GRU stole hundreds of thousands
12,33,of documents from the compromised email accounts and networks. Around the time that the DNC
12,34,"announced in mid-June 2016 the Russian government's role in hacking its network, the GRU"
12,35,"began disseminating stolen materials through the fictitious online personas ""DCLeaks"" and"
12,36,"""Guccifer 2.0."" The GRU later released additional materials through the organization WikiLeaks."
12,37,4
12,38,NA
13,1,U.S. Department of Justice
13,2,AH:erHey\¥Brit Pr6d1:1et// Mtty Cet1:tttiflMttterittl Preteeted Ut1:derFed. R. Ct1iffl.P. 6(e)
13,3,"The presidential campaign of Donald J. Trump (""Trump Campaign"" or ""Campaign"")"
13,4,showed interest in WikiLeaks ' s releases of documents and welcomed their otential to damage
13,5,"candidate Clinton . Beginning in June 2016, llfilllillliliilfll~llliillllllilllilli           forecast to"
13,6,senior Campaign officials that WikiLeaks would release information damaging to candidate
13,7,"Clinton. WikiLeaks ' s first release came in July 2016. Around the same time , candidate Trump"
13,8,announced that he hoped Russia would recover emails described as missing from a private server
13,9,used b Clinton when she was Secreta of State he later said that he was s · eakin sarcasticall .
13,10,WikiLeaks began releasing
13,11,"Podesta ' s stolen emails on October 7, 2016, less than one hour after a U.S. media outlet released"
13,12,video considered damaging to candidate Trump. Section lII of this Report details the Office's
13,13,"investigation into the Russian hacking operations, as well as other efforts by Trump Campaign"
13,14,supporters to obtain Clinton-related emails.
13,15,RUSSIAN CONTACTS WITH THE CAMPAIGN
13,16,The social media campaign and the GRU hacking operations coincided with a series of
13,17,contacts between Trump Campaign officials and individuals with ties to the Russian government.
13,18,The Office investigated whether those contacts reflected or resulted in the Campaign conspiring
13,19,or coordinating with Russia in its election-interference activities. Although the investigation
13,20,established that the Russian government perceived it would benefit from a Trump presidency and
13,21,"worked to secure that outcome, and that the Campaign expected it would benefit electorally from"
13,22,"information stolen and released through Russian efforts, the investigation did not establish that"
13,23,members of the Trump Campaign conspired or coordinated with the Russian government in its
13,24,election interference activities .
13,25,"The Russian contacts consisted of business connections, offers of assistance to the"
13,26,"Campaign, invitations for candidate Trump and Putin to meet in person , invitations for Campaign"
13,27,"officials and representatives of the Russian government to meet, and policy positions seeking"
13,28,improved U.S.-Russian relations. Section IV of this Report details the contacts between Russia
13,29,"and the Trump Campaign during the campaign and transition periods , the most salient of which"
13,30,are summarized below in chronological order.
13,31,2015. Some of the earliest contacts were made in connection with a Trump Organization
13,32,real-estate project in Russia known as Trump Tower Moscow. Candidate Trump signed a Letter
13,33,"oflntent for Trump Tower Moscow by November 2015, and in January 2016 Trump Organization"
13,34,executive Michael Cohen emailed and spoke about the project with the office of Russian
13,35,government press secretary Dmitry Peskov. The Trump Organization pursued the project through
13,36,"at least June 2016 , including by considering travel to Russia by Cohen and candidate Trump."
13,37,Spring 2016. Campaign foreign policy advisor George Papadopoulos made early contact
13,38,"with Joseph Mifsud, a London-based professor who had connections to Russia and traveled to"
13,39,"Moscow in April 2016. Immediately upon his return to London from that trip , Mifsud told"
13,40,"Papadopoulos that the Russian government had ""dirt"" on Hillary Clinton in the form of thousands"
13,41,5
13,42,NA
14,1,U.S. Department of Justice
14,2,l\.ttortte~·Work Pt'od1:1et
14,3,// Mtty Cotttttitt Mttterittl Proteeted Uttder Fed. R. Criffl. P. 6(e)
14,4,"of emails. One week later, in the first week of May 2016, Papadopoulos suggested to a"
14,5,representative of a foreign government that the Trump Campaign had received indications from
14,6,the Russian government that it could assist the Campaign through the anonymous release of
14,7,information damaging to candidate Clinton. Throughout that period of time and for several months
14,8,"thereafter, Papadopoulos worked with Mifsud and two Russian nationals to arrange a meeting"
14,9,between the Campaign and the Russian government. No meeting took place.
14,10,Summer 2016. Russian outreach to the Trump Campaign continued into the summer of
14,11,"2016, as candidate Trump was becoming the presumptive Republican nominee for President. On"
14,12,"June 9, 2016, for example, a Russian lawyer met with senior Trump Campaign officials Donald"
14,13,"Trump Jr., Jared Kushner, and campaign chairman Paul Manafort to deliver what the email"
14,14,"proposing the meeting had described as ""official documents and information that would"
14,15,"incriminate Hillary."" The materials were offered to Trump Jr. as ""part of Russia and its"
14,16,"government's support for Mr. Trump."" The written communications setting up the meeting"
14,17,showed that the Campaign anticipated receiving information from Russia that could assist
14,18,"candidate Trump's electoral prospects, but the Russian lawyer ' s presentation did not provide such"
14,19,information.
14,20,"Days after the June 9 meeting, on June 14, 2016, a cybersecurity firm and the DNC"
14,21,announced that Russian government hackers had infiltrated the DNC and obtained access to
14,22,"opposition research on candidate Trump, among other documents."
14,23,"In July 2016 , Campaign foreign policy advisor Carter Page traveled in his personal capacity"
14,24,to Moscow and gave the keynote address at the New Economic School. Page had lived and worked
14,25,"in Russia between 2003 and 2007 . After returning to the United States, Page became acquainted"
14,26,"with at least two Russian intelligence officers, one of whom was later charged in 2015 with"
14,27,conspiracy to act as an unregistered agent of Russia . Page ' s July 2016 trip to Moscow and his
14,28,advocacy for pro-Russian foreign policy drew media attention . The Campaign then distanced itself
14,29,"from Page and, by late September 2016, removed him from the Campaign."
14,30,July 2016 was also the month WikiLeaks first released emails stolen by the GRU from the
14,31,"DNC. On July 22, 2016, WikiLeaks posted thousands of internal DNC documents revealing"
14,32,"information about the Clinton Campaign. Within days, there was public reporting that U.S."
14,33,"intelligence agencies had ""high confidence"" that the Russian government was .behind the theft of"
14,34,"emails and documents from the DNC. And within a week of the release, a foreign government"
14,35,informed the FBI about its May 2016 interaction with Papadopoulos and his statement that the
14,36,"Russian government could assist the Trump Campaign. On July 31, 2016 , based on the foreign"
14,37,"government rep01ting, the FBI opened an investigation into potential coordination between the"
14,38,Russian government and individuals associated with the Trump Campaign.
14,39,"Separately, on August 2, 2016 , Trump campaign chairman Paul Manafort met in New York"
14,40,"City with his long-time business associate Konstantin Kilimnik, who the FBI assesses to have ties"
14,41,to Russian intelligence. Kilimnik requested the meeting to deliver in person a peace plan for
14,42,"Ukraine that Manafort acknowledged to the Special Counsel's Office was a ""backdoor"" way for"
14,43,Russia to control part of eastern Ukraine; both men believed the plan would require candidate
14,44,Trump 's assent to succeed (were he to be elected President). They also discussed the status of the
14,45,6
14,46,NA
15,1,U.S. Department of Justice
15,2,Atteffle'.}'Nm•kP1:1edttet
15,3,// May Cm~taittMaterial Preteetecl Uttcler Fed. R. C1:1im. P. 6(e)
15,4,Trump Campaign and Manafort's strategy for winning Democratic votes in Midwestern states.
15,5,"Months before that meeting, Manafort had caused internal polling data to be shared with Kilimnik,"
15,6,and the sharing continued for some period of time after their August meeting.
15,7,"Fall 2016. On October 7, 2016, the media released video of candidate Trump speaking in"
15,8,"graphic terms about women years earlier, which was considered damaging to his candidacy. Less"
15,9,"than an hour later, WikiLeaks made its second release: thousands of John Podesta ' s emails that"
15,10,had been stolen by the GRU in late March 2016. The FBI and other U.S. government institutions
15,11,were at the time continuing their investigation of suspected Russian government efforts to interfere
15,12,"in the presidential election. That same day, October 7, the Department of Homeland Security and"
15,13,"the Office of the Director of National Intelligence issued a joint public statement ""that the Russian"
15,14,"Government directed the recent compromises of e-mails from US persons and institutions,"
15,15,"including from US political organizations ."" Those ""thefts"" and the ""disclosures "" of the hacked"
15,16,"materials through online platforms such as WikiLeaks, the statement continued, ""are intended to"
15,17,"interfere with the US election process."""
15,18,"Post-2016 Election. Immediately after the November 8 election , Russian government"
15,19,officials and prominent Russian businessmen began trying to make inroads into the new
15,20,administration. The most senior levels of the Russian government encouraged these efforts. The
15,21,Russian Embassy made contact hours after the election to congratulate the President-Elect and to
